,YEAR,STATE,Cesarean Delivery Rate,"Drug Overdose Mortality per 100,000",Percent of Babies Born to Unmarried Mothers,"Suicide Mortality per 100,000","Teen Births per 1,000"
257,2018,DE,31.3,43.8,47.0,11.4,16.7
258,2018,FL,36.8,22.8,46.4,15.2,16.7
259,2018,GA,34.0,13.2,45.1,14.6,20.6
260,2018,HI,26.9,14.3,38.1,11.9,17.2
261,2018,ID,24.0,14.6,27.0,23.9,16.0
262,2018,IL,31.2,21.3,39.3,11.3,15.8
263,2018,IN,29.8,25.6,43.2,16.0,21.8
264,2018,IA,29.8,9.6,34.9,15.5,15.3
265,2018,KS,29.7,12.4,36.4,19.3,20.0
266,2018,KY,34.3,30.9,41.9,17.5,27.3
267,2018,LA,37.0,25.4,53.3,15.1,27.5
268,2018,ME,30.4,27.9,38.8,18.5,11.1
269,2018,MD,33.9,37.2,39.2,10.2,14.1
270,2018,MA,31.5,32.8,32.5,9.9,7.2
271,2018,MI,32.1,26.6,40.8,15.0,15.8
272,2018,MN,27.0,11.5,31.9,13.1,10.2
273,2018,MS,38.3,10.8,54.1,13.8,27.8
274,2018,MO,30.0,27.5,40.3,19.5,21.6
275,2018,MT,28.1,12.2,34.9,24.9,17.2
276,2018,NE,29.9,7.4,32.5,13.4,16.7
277,2018,NV,33.8,21.2,48.3,20.8,20.5
278,2018,NH,31.6,35.8,32.9,19.4,8.0
279,2018,NJ,34.9,33.1,33.8,8.3,10.3
280,2018,NM,25.3,26.7,51.2,25.0,25.3
281,2018,NY,33.9,18.4,37.5,8.3,11.7
282,2018,NC,29.4,22.4,40.9,13.7,18.7
283,2018,ND,26.5,10.2,31.9,19.2,16.4
284,2018,OH,30.8,35.9,43.2,15.3,18.9
285,2018,OK,32.8,18.4,42.2,20.0,27.2
286,2018,OR,28.0,12.6,36.3,19.0,13.3
287,2018,PA,30.1,36.1,40.8,14.9,14.1
288,2018,RI,32.2,30.1,43.6,9.5,11.5
289,2018,SC,33.5,22.6,46.2,15.4,22.0
290,2018,SD,24.6,6.9,36.1,19.3,20.4
291,2018,TN,32.4,27.5,43.5,16.6,25.3
292,2018,TX,35.0,10.4,40.8,13.7,25.3
293,2018,UT,22.7,21.2,19.2,22.2,13.1
294,2018,VT,25.9,26.6,38.5,18.8,8.8
295,2018,VA,32.4,17.1,34.7,14.0,14.3
296,2018,WA,27.9,14.8,31.1,15.9,12.7
297,2018,WV,34.1,51.5,45.7,21.2,25.4
298,2018,WI,26.6,19.2,37.4,14.8,13.0
299,2018,WY,27.4,11.1,33.3,25.2,20.8
300,2019,AL,34.6,16.3,48.3,16.3,25.6
301,2019,AK,21.6,17.8,36.3,28.5,18.3
302,2019,AZ,27.8,26.8,45.2,18.7,18.5
303,2019,AR,34.5,13.5,46.8,18.0,30.0
304,2019,CA,30.8,15.0,37.2,10.7,12.4
305,2019,CO,26.8,18.0,23.4,22.1,13.9
306,2019,CT,34.6,34.7,36.8,11.4,7.7
307,2019,DE,31.5,48.0,47.1,11.3,14.9
308,2019,FL,36.5,25.5,46.6,14.5,16.2
309,2019,GA,34.3,13.1,45.6,14.6,19.7
310,2019,HI,26.8,15.9,38.4,15.5,15.7
311,2019,ID,24.0,15.1,27.1,20.4,14.9
312,2019,IL,30.6,21.9,39.5,10.9,14.6
313,2019,IN,29.3,26.6,43.5,14.2,20.8
314,2019,IA,29.6,11.5,35.1,16.7,14.1
315,2019,KS,29.7,14.3,36.4,18.2,19.2
316,2019,KY,33.6,32.5,42.3,16.5,24.9
317,2019,LA,36.7,28.3,54.0,15.0,27.8
318,2019,ME,30.2,29.9,38.3,19.4,9.1
319,2019,MD,33.0,38.2,40.5,10.3,13.9
320,2019,MA,31.4,32.1,32.4,8.7,6.9
321,2019,MI,32.0,24.4,41.0,14.3,15.1
322,2019,MN,27.6,14.2,32.0,14.4,10.1
323,2019,MS,38.5,13.6,54.9,14.4,29.1
324,2019,MO,30.1,26.9,40.4,18.2,20.3
325,2019,MT,28.4,14.1,34.8,26.2,16.3
326,2019,NE,29.1,8.7,33.7,16.1,15.3
327,2019,NV,32.8,20.1,48.1,19.8,18.9
328,2019,NH,31.6,32.0,31.6,17.5,6.6
329,2019,NJ,33.8,31.7,33.6,8.0,10.0
330,2019,NM,26.4,30.2,51.5,24.0,24.4
331,2019,NY,33.2,18.2,37.5,8.3,11.4
332,2019,NC,29.1,22.3,41.6,12.5,18.2
333,2019,ND,26.5,11.4,32.1,18.1,15.6
334,2019,OH,31.0,38.3,43.6,15.1,18.8
335,2019,OK,32.1,16.7,43.6,20.5,27.4
336,2019,OR,28.0,14.0,36.0,20.4,12.1
337,2019,PA,30.2,35.6,40.9,14.1,13.3
338,2019,RI,32.0,29.5,44.4,10.7,10.0
339,2019,SC,33.2,22.7,46.7,16.2,21.6
340,2019,SD,24.5,10.5,36.2,20.9,19.2
341,2019,TN,31.8,31.2,44.0,17.2,23.7
342,2019,TX,34.8,10.8,41.4,13.4,24.0
343,2019,UT,23.1,18.9,19.2,21.2,12.0
344,2019,VT,25.8,23.8,39.8,16.0,7.6
345,2019,VA,31.9,18.3,35.1,12.8,13.6
346,2019,WA,27.8,15.8,31.3,15.9,12.7
347,2019,WV,34.6,52.8,46.7,18.5,25.2
348,2019,WI,26.7,21.1,37.6,14.0,12.5
349,2019,WY,26.3,14.1,33.6,29.3,19.4
350,2020,AL,35.0,22.3,48.4,16.0,24.8
351,2020,AK,22.9,22.0,36.5,27.5,17.7
352,2020,AZ,28.4,35.8,45.2,17.6,16.6
353,2020,AR,33.8,19.1,46.8,19.0,27.8
354,2020,CA,30.5,21.8,38.6,10.0,11.0
355,2020,CO,27.2,24.9,23.2,21.5,12.5
356,2020,CT,34.1,39.1,38.1,9.3,7.6
357,2020,DE,31.7,47.3,48.1,12.3,14.6
358,2020,FL,35.9,35.0,47.2,13.2,15.2
359,2020,GA,33.9,18.0,46.3,13.7,18.2
360,2020,HI,26.3,18.3,39.4,12.9,13.0
361,2020,ID,23.5,15.9,27.7,23.2,14.6
362,2020,IL,30.8,28.1,40.5,10.5,13.6
363,2020,IN,30.1,36.7,43.6,15.0,18.7
364,2020,IA,30.2,14.3,36.3,18.0,13.3
365,2020,KS,30.1,17.4,36.8,18.4,18.1
366,2020,KY,34.3,49.2,43.1,17.7,23.8
367,2020,LA,36.8,42.7,54.5,13.7,25.7
368,2020,ME,29.7,39.7,38.4,16.4,10.6
369,2020,MD,33.7,44.6,40.8,9.2,13.1
370,2020,MA,32.4,33.9,33.0,8.4,6.1
371,2020,MI,32.5,28.6,41.2,14.0,13.5
372,2020,MN,28.5,19.0,32.6,13.1,9.1
373,2020,MS,38.2,21.1,55.8,13.9,27.9
374,2020,MO,29.3,32.1,41.1,18.2,18.8
375,2020,MT,27.6,15.6,33.9,26.1,13.2
376,2020,NE,28.8,11.3,33.4,14.9,15.1
377,2020,NV,32.9,26.0,48.8,18.2,16.8
378,2020,NH,32.1,30.3,32.1,16.4,6.6
379,2020,NJ,33.2,32.1,33.9,7.1,9.2
380,2020,NM,26.1,39.0,53.2,24.2,21.9
381,2020,NY,33.6,25.4,38.1,8.0,10.0
382,2020,NC,29.9,30.9,41.9,13.2,17.3
383,2020,ND,27.0,15.6,32.8,18.2,13.7
384,2020,OH,31.3,47.2,43.6,13.8,17.6
385,2020,OK,32.1,19.4,44.4,21.9,25.0
386,2020,OR,28.8,18.7,36.7,18.3,10.1
387,2020,PA,30.6,42.4,40.9,12.6,12.6
388,2020,RI,33.4,38.2,44.7,8.5,9.4
389,2020,SC,33.5,34.9,46.6,16.3,19.3
390,2020,SD,24.7,10.3,36.0,21.0,18.7
391,2020,TN,32.1,45.6,44.6,17.2,23.3
392,2020,TX,34.7,14.1,41.7,13.3,22.4
393,2020,UT,23.1,20.5,19.3,20.8,10.8
394,2020,VT,26.9,32.9,38.9,18.1,7.0
395,2020,VA,32.6,26.6,35.8,13.5,13.1
396,2020,WA,28.5,22.0,31.6,15.2,11.3
397,2020,WV,34.2,81.4,46.8,19.4,22.5
398,2020,WI,26.7,27.7,37.9,14.5,11.5
399,2020,WY,26.4,17.4,34.1,30.5,18.1
